time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1901,0,600
2001,0,600
2101,0,600
2201,0,600
2301,0,600
2401,0,600
2501,0,600
2601,0,600
2701,0,600
2801,0,600
2901,0,600
3001,0,600
3101,0,600
3201,0,600
3301,0,600
3401,0,600
3501,0,600
3601,0,600
3701,0,600
3801,0,600
3901,0,600
4001,0,600
4101,0,600
4201,0,600
4301,0,600
4401,0,600
4501,0,600
4601,0,600
4701,0,600
4801,0,600
4901,0,600
5001,0,600
5101,0,600
5201,0,600
5301,0,600
5401,0,600
5501,0,600
5601,0,600
5701,0,600
5801,0,600
5901,0,600
6001,0,600
6101,0,600
6201,0,600
6301,0,600
6401,0,600
6501,0,600
6601,0,600
6701,0,600
6801,0,600
6901,0,600
7001,0,600
7101,0,600
7201,0,600
7301,0,600
7401,0,600
7501,0,600
7601,0,600
7701,0,600
7801,0,600
7901,0,600
8001,0,600
8101,0,600
8201,0,600
8301,0,600
8401,0,600
8501,0,600
8601,0,600
8701,0,600
8801,0,600
8901,0,600
9001,0,600
9101,0,600
9201,0,600
9301,0,600
9401,0,600
9501,0,600
9601,0,600
9701,0,600
9801,0,600
9901,0,600
10001,0,600
10101,0,600
10201,0,600
10301,0,600
10401,0,600
10501,0,600
10601,0,600
10701,0,600
10801,0,600
10901,0,600
11001,0,600
11101,0,600
11201,0,600
11301,0,600
11401,0,600
11501,0,600
11601,0,600
11701,0,600
11801,0,600
11901,0,600
12001,0,600
12101,0,600
12154,1,600
12201,1,600
12301,1,600
12401,1,600
12501,1,600
12601,1,600
12701,1,600
12801,1,600
12901,1,600
13001,1,600
13101,1,600
13201,1,600
13301,1,600
13401,1,600
13501,1,600
13601,1,600
13701,1,600
13801,1,600
13901,1,600
14001,1,600
14101,1,600
14201,1,600
14301,1,600
14401,1,600
14501,1,600
14601,1,600
14701,1,600
14801,1,600
14901,1,600
15001,1,600
15101,1,600
15201,1,600
15301,1,600
15401,1,600
15434,2,599
15501,2,599
15601,2,599
15701,2,599
15801,2,599
15901,2,599
16001,2,599
16101,2,599
16201,2,599
16301,2,599
16401,2,599
16501,2,599
16601,2,599
16701,2,599
16801,2,599
16901,2,599
17001,2,599
17101,2,599
17201,2,599
17301,2,599
17401,2,599
17501,2,599
17601,2,599
17701,2,599
17801,2,599
17901,2,599
18001,2,599
18101,2,599
18201,2,599
18301,2,599
18401,2,599
18501,2,599
18601,2,599
18701,2,599
18801,2,599
18901,2,599
18948,3,598
19001,3,598
19101,3,598
19201,3,598
19301,3,598
19401,3,598
19501,3,598
19601,3,598
19701,3,598
19801,3,598
19901,3,598
20001,3,598
20101,3,598
20201,3,598
20301,3,598
20401,3,598
20501,3,598
20601,3,598
20701,3,598
20801,3,598
20848,4,597
20901,4,597
21001,4,597
21101,4,597
21201,4,597
21301,4,597
21401,4,597
21501,4,597
21601,4,597
21701,4,597
21801,4,597
21901,4,597
22001,4,597
22101,4,597
22201,4,597
22301,4,597
22401,4,597
22501,4,597
22601,4,597
22701,4,597
22801,4,597
22901,4,597
