time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1901,0,600
2001,0,600
2101,0,600
2201,0,600
2301,0,600
2401,0,600
2501,0,600
2601,0,600
2701,0,600
2801,0,600
2901,0,600
3001,0,600
3101,0,600
3201,0,600
3301,0,600
3401,0,600
3501,0,600
3601,0,600
3701,0,600
3801,0,600
3901,0,600
4001,0,600
4101,0,600
4201,0,600
4301,0,600
4401,0,600
4501,0,600
4601,0,600
4701,0,600
4801,0,600
4901,0,600
5001,0,600
5101,0,600
5201,0,600
5301,0,600
5401,0,600
5501,0,600
5601,0,600
5701,0,600
5801,0,600
5901,0,600
6001,0,600
6101,0,600
6201,0,600
6301,0,600
6401,0,600
6501,0,600
6601,0,600
6701,0,600
6801,0,600
6901,0,600
7001,0,600
7101,0,600
7201,0,600
7301,0,600
7401,0,600
7501,0,600
7601,0,600
7701,0,600
7801,0,600
7901,0,600
8001,0,600
8101,0,600
8201,0,600
8301,0,600
8401,0,600
8501,0,600
8601,0,600
8701,0,600
8801,0,600
8901,0,600
9001,0,600
9101,0,600
9201,0,600
9301,0,600
9401,0,600
9501,0,600
9601,0,600
9701,0,600
9801,0,600
9901,0,600
10001,0,600
10101,0,600
10201,0,600
10301,0,600
10401,0,600
10501,0,600
10585,1,600
10601,1,600
10701,1,600
10801,1,600
10901,1,600
11001,1,600
11101,1,600
11201,1,600
11301,1,600
11401,1,600
11501,1,600
11601,1,600
11701,1,600
11801,1,600
11901,1,600
12001,1,600
12101,1,600
12201,1,600
12301,1,600
12401,1,600
12501,1,600
12554,2,599
12601,2,599
12701,2,599
12801,2,599
12901,2,599
13001,2,599
13101,2,599
13201,2,599
13301,2,599
13401,2,599
13501,2,599
13601,2,599
13701,2,599
13801,2,599
13901,2,599
14001,2,599
14101,2,599
14201,2,599
14301,2,599
14401,2,599
14501,2,599
14557,3,598
14601,3,598
14701,3,598
14801,3,598
14901,3,598
15001,3,598
15101,3,598
15201,3,598
15301,3,598
15401,3,598
15501,3,598
15601,3,598
15701,3,598
15801,3,598
15901,3,598
16001,3,598
16101,3,598
16201,3,598
16301,3,598
16401,3,598
16501,3,598
16601,3,598
16701,3,598
16801,3,598
16901,3,598
17001,3,598
17101,3,598
17201,3,598
17301,3,598
17401,3,598
17501,3,598
17601,3,598
17701,3,598
17801,3,598
17901,3,598
18001,3,598
18101,3,598
18201,3,598
18301,3,598
18401,3,598
18501,3,598
18601,3,598
18701,3,598
18801,3,598
18901,3,598
19001,3,598
19101,3,598
19201,3,598
19301,3,598
19401,3,598
19501,3,598
19575,4,598
19601,4,598
19701,4,598
19801,4,598
19901,4,598
20001,4,598
20101,4,598
20201,4,598
20301,4,598
20401,4,598
20501,4,598
20601,4,598
20701,4,598
20801,4,598
20901,4,598
21001,4,598
21101,4,598
21201,4,598
21301,4,598
21401,4,598
21501,4,598
21601,4,598
21701,4,598
21801,4,598
21901,4,598
22001,4,598
22101,4,598
22201,4,598
22301,4,598
22401,4,598
22501,4,598
22601,4,598
22701,4,598
22801,4,598
22901,4,598
23001,4,598
23101,4,598
23201,4,598
23301,4,598
23401,4,598
23501,4,598
23601,4,598
23701,4,598
23801,4,598
23837,5,597
23901,5,597
24001,5,597
24101,5,597
24136,6,597
24201,6,597
24301,6,597
24401,6,597
24501,6,597
24601,6,597
24701,6,597
24801,6,597
24901,6,597
25001,6,597
25101,6,597
25201,6,597
25301,6,597
25401,6,597
25501,6,597
25601,6,597
25701,6,597
25801,6,597
25901,6,597
26001,6,597
26101,6,597
26201,6,597
26301,6,597
26401,6,597
26501,6,597
26601,6,597
26701,6,597
26748,7,588
26801,7,588
26901,7,588
27001,7,588
27101,7,588
27201,7,588
27301,7,588
27401,7,588
27501,7,588
27601,7,588
27701,7,588
27801,7,588
27901,7,588
28001,7,588
28101,7,588
28201,7,588
28301,7,588
28401,7,588
28501,7,588
28601,7,588
28701,7,588
28801,7,588
28901,7,588
29001,7,588
29101,7,588
29201,7,588
29301,7,588
29401,7,588
29501,7,588
29601,7,588
29701,7,588
29801,7,588
29901,7,588
30001,7,588
30101,7,588
30201,7,588
30301,7,588
30401,7,588
30501,7,588
30601,7,588
30638,8,586
30701,8,586
30801,8,586
30901,8,586
31001,8,586
31101,8,586
31201,8,586
31301,8,586
31401,8,586
31501,8,586
31601,8,586
31701,8,586
31801,8,586
31901,8,586
32001,8,586
32101,8,586
32201,8,586
32301,8,586
32401,8,586
32501,8,586
32601,8,586
32701,8,586
32801,8,586
32901,8,586
33001,8,586
33101,8,586
33201,8,586
33301,8,586
33401,8,586
33501,8,586
33601,8,586
33701,8,586
33801,8,586
33901,8,586
