time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1901,0,600
2001,0,600
2101,0,600
2201,0,600
2301,0,600
2401,0,600
2501,0,600
2601,0,600
2701,0,600
2801,0,600
2901,0,600
3001,0,600
3101,0,600
3201,0,600
3301,0,600
3401,0,600
3501,0,600
3601,0,600
3701,0,600
3801,0,600
3901,0,600
4001,0,600
4101,0,600
4201,0,600
4301,0,600
4401,0,600
4501,0,600
4601,0,600
4701,0,600
4801,0,600
4901,0,600
5001,0,600
5101,0,600
5201,0,600
5301,0,600
5401,0,600
5501,0,600
5601,0,600
5701,0,600
5801,0,600
5901,0,600
6001,0,600
6101,0,600
6201,0,600
6301,0,600
6401,0,600
6501,0,600
6601,0,600
6701,0,600
6801,0,600
6901,0,600
7001,0,600
7101,0,600
7201,0,600
7301,0,600
7401,0,600
7501,0,600
7601,0,600
7701,0,600
7801,0,600
7901,0,600
8001,0,600
8101,0,600
8201,0,600
8301,0,600
8401,0,600
8501,0,600
8601,0,600
8701,0,600
8801,0,600
8901,0,600
9001,0,600
9101,0,600
9201,0,600
9301,0,600
9401,0,600
9501,0,600
9601,0,600
9701,0,600
9801,0,600
9901,0,600
10001,0,600
10101,0,600
10201,0,600
10301,0,600
10401,0,600
10501,0,600
10601,0,600
10701,0,600
10801,0,600
10901,0,600
10928,1,600
11001,1,600
11101,1,600
11201,1,600
11301,1,600
11401,1,600
11501,1,600
11601,1,600
11701,1,600
11801,1,600
11901,1,600
12001,1,600
12101,1,600
12201,1,600
12301,1,600
12401,1,600
12501,1,600
12601,1,600
12701,1,600
12801,1,600
12901,1,600
13001,1,600
13101,1,600
13201,1,600
13301,1,600
13401,1,600
13501,1,600
13601,1,600
13701,1,600
13801,1,600
13869,2,599
13901,2,599
14001,2,599
14101,2,599
14201,2,599
14301,2,599
14401,2,599
14501,2,599
14601,2,599
14701,2,599
14801,2,599
14901,2,599
15001,2,599
15101,2,599
15201,2,599
15301,2,599
15401,2,599
15501,2,599
15601,2,599
15701,2,599
15801,2,599
15901,2,599
16001,2,599
16101,2,599
16201,2,599
16301,2,599
16401,2,599
16501,2,599
16601,2,599
16701,2,599
16801,2,599
16901,2,599
17001,2,599
17101,2,599
17177,3,598
17201,3,598
17301,3,598
17401,3,598
17479,4,597
17501,4,597
17601,4,597
17701,4,597
17801,4,597
17901,4,597
18001,4,597
18101,4,597
18201,4,597
18301,4,597
18401,4,597
18501,4,597
18601,4,597
18701,4,597
18801,4,597
18901,4,597
19001,4,597
19101,4,597
19201,4,597
19301,4,597
19401,4,597
19501,4,597
19601,4,597
19701,4,597
19801,4,597
19901,4,597
20001,4,597
20101,4,597
20201,4,597
20301,4,597
20401,4,597
20501,4,597
20601,4,597
20701,4,597
20801,4,597
20901,4,597
21001,4,597
21101,4,597
21201,4,597
21301,4,597
21401,4,597
21501,4,597
21601,4,597
21701,4,597
21736,5,597
21801,5,597
21901,5,597
22001,5,597
22101,5,597
22201,5,597
22301,5,597
22401,5,597
22501,5,597
22601,5,597
22701,5,597
22801,5,597
22901,5,597
23001,5,597
23101,5,597
23201,5,597
23301,5,597
23401,5,597
23501,5,597
23601,5,597
23701,5,597
23801,5,597
23901,5,597
24001,5,597
24101,5,597
24201,5,597
24301,5,597
24401,5,597
24501,5,597
24601,5,597
24701,5,597
24801,5,597
24901,5,597
25001,5,597
25101,5,597
25201,5,597
25301,5,597
25401,5,597
25501,5,597
25601,5,597
25701,5,597
25801,5,597
25901,5,597
26001,5,597
26101,5,597
26201,5,597
26301,5,597
26401,5,597
26501,5,597
26601,5,597
26701,5,597
26801,5,597
26901,5,597
26913,6,597
27001,6,597
