time,nb_dead_node,nb_package
1,0,600
101,0,600
201,0,600
301,0,600
401,0,600
501,0,600
601,0,600
701,0,600
801,0,600
901,0,600
1001,0,600
1101,0,600
1201,0,600
1301,0,600
1401,0,600
1501,0,600
1601,0,600
1701,0,600
1801,0,600
1901,0,600
2001,0,600
2101,0,600
2201,0,600
2301,0,600
2401,0,600
2501,0,600
2601,0,600
2701,0,600
2801,0,600
2901,0,600
3001,0,600
3101,0,600
3201,0,600
3301,0,600
3401,0,600
3501,0,600
3601,0,600
3701,0,600
3801,0,600
3901,0,600
4001,0,600
4101,0,600
4201,0,600
4301,0,600
4401,0,600
4501,0,600
4601,0,600
4701,0,600
4801,0,600
4901,0,600
5001,0,600
5101,0,600
5201,0,600
5301,0,600
5401,0,600
5501,0,600
5601,0,600
5701,0,600
5801,0,600
5901,0,600
6001,0,600
6101,0,600
6201,0,600
6301,0,600
6401,0,600
6501,0,600
6601,0,600
6701,0,600
6801,0,600
6901,0,600
7001,0,600
7101,0,600
7201,0,600
7301,0,600
7401,0,600
7501,0,600
7601,0,600
7701,0,600
7801,0,600
7901,0,600
8001,0,600
8101,0,600
8201,0,600
8301,0,600
8401,0,600
8501,0,600
8601,0,600
8701,0,600
8801,0,600
8901,0,600
9001,0,600
9101,0,600
9201,0,600
9301,0,600
9401,0,600
9501,0,600
9601,0,600
9701,0,600
9801,0,600
9901,0,600
10001,0,600
10101,0,600
10201,0,600
10301,0,600
10401,0,600
10501,0,600
10601,0,600
10701,0,600
10801,0,600
10901,0,600
11001,0,600
11101,0,600
11201,0,600
11301,0,600
11401,0,600
11501,0,600
11601,0,600
11701,0,600
11801,0,600
11901,0,600
12001,0,600
12101,0,600
12201,0,600
12301,0,600
12401,0,600
12501,0,600
12601,0,600
12701,0,600
12801,0,600
12901,0,600
13001,0,600
13101,0,600
13201,0,600
13301,0,600
13401,0,600
13501,0,600
13601,0,600
13701,0,600
13801,0,600
13901,0,600
14001,0,600
14101,0,600
14201,0,600
14301,0,600
14401,0,600
14501,0,600
14601,0,600
14701,0,600
14801,0,600
14901,0,600
15001,0,600
15101,0,600
15201,0,600
15301,0,600
15401,0,600
15501,0,600
15601,0,600
15701,0,600
15801,0,600
15901,0,600
15947,1,599
16001,1,599
16101,1,599
16201,1,599
16301,1,599
16401,1,599
16501,1,599
16601,1,599
16701,1,599
16801,1,599
16901,1,599
17001,1,599
17076,2,598
17101,2,598
17201,2,598
17301,2,598
17401,2,598
17501,2,598
17601,2,598
17701,2,598
17801,2,598
17901,2,598
18001,2,598
18101,2,598
18201,2,598
18301,2,598
18401,2,598
18501,2,598
18601,2,598
18701,2,598
18801,2,598
18901,2,598
19001,2,598
19101,2,598
19201,2,598
19301,2,598
19401,2,598
19501,2,598
19601,2,598
19701,2,598
19801,2,598
19901,2,598
20001,2,598
20029,3,597
20101,3,597
20201,3,597
20301,3,597
20401,3,597
20501,3,597
20601,3,597
20701,3,597
20801,3,597
20901,3,597
21001,3,597
21101,3,597
21201,3,597
21301,3,597
21401,3,597
21501,3,597
21601,3,597
21701,3,597
21801,3,597
21901,3,597
22001,3,597
22101,3,597
22201,3,597
22301,3,597
22401,3,597
22501,3,597
22601,3,597
22701,3,597
22801,3,597
22901,3,597
23001,3,597
23101,3,597
23201,3,597
23301,3,597
23401,3,597
23501,3,597
23601,3,597
23654,4,596
23701,4,596
23801,4,596
23901,4,596
24001,4,596
24101,4,596
24201,4,596
24301,4,596
24401,4,596
24501,4,596
24601,4,596
24701,4,596
24801,4,596
24901,4,596
25001,4,596
25101,4,596
25201,4,596
25301,4,596
25401,4,596
25501,4,596
25601,4,596
25701,4,596
25801,4,596
25901,4,596
26001,4,596
26101,4,596
26201,4,596
26301,4,596
26401,4,596
26501,4,596
26601,4,596
26701,4,596
26801,4,596
26901,4,596
27001,4,596
27101,4,596
27201,4,596
27301,4,596
27401,4,596
27501,4,596
27601,4,596
27701,4,596
27801,4,596
27901,4,596
28001,4,596
28101,4,596
28201,4,596
28301,4,596
28401,4,596
28501,4,596
28601,4,596
28701,4,596
28801,4,596
28901,4,596
29001,4,596
29101,4,596
29201,4,596
29248,5,596
29301,5,596
29401,5,596
29501,5,596
29601,5,596
29701,5,596
29801,5,596
29901,5,596
30001,5,596
30101,5,596
30201,5,596
30301,5,596
30401,5,596
30501,5,596
30601,5,596
30701,5,596
30801,5,596
30901,5,596
31001,5,596
